Survey_ID,Nearest_Landmark,Gutter_Type,BlockScore,Width_m,Depth_m,CrossSec_m2,DEM_Value,Slope_Score,FlowAcc_Score,LULC_Risk,Capacity_Risk,Rainfall_Score,Risk_Score,Risk_Level,Photo_ID,Latitude,Longitude
754261571.0,Car wash opposite,Open concrete drain,0.25,0.8,1.5,0.72,39.0,0.917055,0.018927445,1.0,0.46,0.301,0.421597368,Moderately Low,1778329372690.jpg,5.6493661,-0.2101037
754261600.0,Amigos mart,Open concrete drain,0.25,0.7,1.5,0.56,41.0,0.847161,0.006309148,1.0,0.58,0.301,0.421220521,Moderately Low,1778329597580.jpg,5.6488918,-0.2101148
754261626.0,Ready fuel,Open concrete drain,0.25,0.8,0.7,0.72,42.0,0.962898,0.107255521,1.0,0.46,0.301,0.44172303,Moderately Low,1778329709493.jpg,5.6485913,-0.2102862
754261658.0,Adibash beauty salon,Open concrete drain,0.5,0.8,0.9,0.72,42.0,0.870489,0.006309148,1.0,0.64,0.301,0.505719722,Moderately High,1778329867621.jpg,5.6479884,-0.2104365
754261682.0,Owuu street,Open concrete drain,0.25,0.7,0.9,0.455,46.0,0.883909,0.003154574,1.0,0.65875,0.301,0.434134534,Moderately Low,1778604673798.jpg,5.6501287,-0.2071409
754261735.0,Bakana hostel,Open concrete drain,0.25,0.5,0.8,0.325,44.0,0.830975,0.0,1.0,0.75625,0.301,0.435471249,Moderately Low,1778605063404.jpg,5.6503416,-0.2077362
754261761.0,Bakana Hostel,Open concrete drain,0.5,0.6,0.9,0.39,42.0,0.867347,0.003154574,0.0,0.805,0.301,0.421275236,Moderately Low,1778605234775.jpg,5.6503842,-0.2080859
754261789.0,Asene street,Open concrete drain,0.25,0.6,0.9,0.39,40.0,0.976534,0.009463722,1.0,0.7075,0.301,0.45384966,Moderately Low,1778605371442.jpg,5.6505104,-0.2084656
754261806.0,Asene street linda door hostel,Open concrete drain,0.25,0.6,0.65,0.39,41.0,0.962898,0.0,1.0,0.7075,0.301,0.450384702,Moderately Low,1778605550709.jpg,5.6506046,-0.2091045
754261826.0,Linda door hostel,Open concrete drain,0.5,0.6,0.65,0.39,40.0,0.983407,0.003154574,1.0,0.805,0.301,0.538684239,Moderately High,1778605702508.jpg,5.6506783,-0.2095092
754261853.0,Trade mart,Open concrete drain,0.75,1.0,0.65,1.0,40.0,0.931596,0.003154574,1.0,0.75,0.301,0.600412583,Moderately High,1778605844716.jpg,5.6506494,-0.2096431
754261870.0,Trade mart,Open concrete drain,0.75,1.0,0.65,1.0,40.0,0.929613,0.384858044,1.0,0.75,0.301,0.657370656,Moderately High,1778606022300.jpg,5.6504157,-0.2096801
754261886.0,Trade mart opposite,Open concrete drain,0.25,0.65,0.65,0.52,40.0,0.931596,0.006309148,1.0,0.61,0.301,0.436885769,Moderately Low,1778606185471.jpg,5.6505438,-0.2097997
754261907.0,Pretty with Onyinka,Open concrete drain,0.75,0.6,0.65,0.39,40.0,0.962898,0.0,1.0,0.9025,0.301,0.619884702,Moderately High,1778606307407.jpg,5.6508244,-0.2097332
754261924.0,Bubune pharmacy,Open concrete drain,1.0,0.6,1.0,0.39,40.0,0.94018,0.031545741,1.0,1.0,0.301,0.705958862,Moderately High,1778606521843.jpg,5.6514281,-0.2095589
754261939.0,Bubune pharmacy,Covered / underground drain,0.25,0.7,1.0,0.455,40.0,0.983407,0.003154574,1.0,0.65875,0.301,0.449059239,Moderately Low,1778606708433.jpg,5.6513101,-0.209479
754261964.0,Bubune pharmacy,Open concrete drain,0.5,0.6,0.8,0.36,40.0,0.94018,0.031545741,1.0,0.82,0.301,0.537958862,Moderately High,1778606813087.jpg,5.6514243,-0.2094563
754261982.0,Bubune pharmacy street,Open concrete drain,0.25,0.6,0.65,0.39,41.0,0.8951,0.0,1.0,0.7075,0.301,0.440214999,Moderately Low,1778606931532.jpg,5.6513257,-0.2089931
754262003.0,Bubune pharmacy street,Open concrete drain,0.25,0.6,0.65,0.36,40.0,0.8951,0.006309148,1.0,0.73,0.301,0.443411372,Moderately Low,1778607034786.jpg,5.6512704,-0.208687
754262031.0,Bubune pharmacy street,Open concrete drain,0.25,0.6,0.65,0.39,39.0,0.858341,0.006309148,1.0,0.7075,0.301,0.435647519,Moderately Low,1778607136040.jpg,5.6511949,-0.2084916
754262049.0,Bubune pharmacy street,Open concrete drain,0.5,0.6,0.6,0.39,40.0,0.870489,0.195583596,1.0,0.805,0.301,0.550610889,Moderately High,1778607267868.jpg,5.6511024,-0.2080756
754262062.0,Near boundary road,Open concrete drain,0.25,0.6,0.65,0.42,44.0,0.834249,0.094637224,1.0,0.685,0.301,0.443032936,Moderately Low,1778607416632.jpg,5.6509387,-0.2075885
754262075.0,Near boundary road,Open concrete drain,0.75,0.6,0.6,0.3,45.0,0.834249,0.0,1.0,0.925,0.301,0.602837353,Moderately High,1778607536775.jpg,5.650973,-0.2074384
754262095.0,Bubune pharmacy street,Open concrete drain,0.25,0.6,0.65,0.36,43.0,0.931596,0.0,1.0,0.73,0.301,0.447939397,Moderately Low,1778607864413.jpg,5.6518069,-0.2084712
754262117.0,Behind mr Ahoi's house,Open concrete drain,0.25,0.6,0.65,0.33,44.0,0.983407,0.0,1.0,0.7525,0.301,0.457961053,Moderately Low,1778608081884.jpg,5.6521101,-0.2084417
754262138.0,Omanye ave 1st street,Open concrete drain,0.25,0.6,0.7,0.36,44.0,0.917055,0.0,1.0,0.73,0.301,0.445758251,Moderately Low,1778608164971.jpg,5.6524422,-0.2083714
754262150.0,Queen's apartment,Open concrete drain,0.25,0.6,0.5,0.36,44.0,0.915414,0.0,1.0,0.73,0.301,0.445512096,Moderately Low,1778608365645.jpg,5.6527239,-0.2083156
754262163.0,Omanye stree,Open concrete drain,0.5,0.6,0.6,0.36,42.0,0.925808,0.0,1.0,0.82,0.301,0.531071202,Moderately High,1778608494409.jpg,5.6532028,-0.2081997
754262181.0,Omanye ave,Open concrete drain,0.5,0.6,0.55,0.36,41.0,0.950224,0.0,1.0,0.82,0.301,0.534733597,Moderately High,1778608570848.jpg,5.6533878,-0.2082138
754262193.0,Omanye ave,Open concrete drain,0.25,0.6,0.6,0.3,41.0,0.950224,0.0,1.0,0.775,0.301,0.455233597,Moderately Low,1778608663875.jpg,5.6534573,-0.208091
754262213.0,Omanye ave,Open concrete drain,0.25,0.6,0.6,0.36,41.0,0.933637,0.0,1.0,0.73,0.301,0.448245553,Moderately Low,1778608754976.jpg,5.653526,-0.208364
754262224.0,Omanye ave,Open concrete drain,0.5,0.6,0.6,0.36,40.0,0.94018,0.186119874,1.0,0.82,0.301,0.561144981,Moderately High,1778608863205.jpg,5.6536007,-0.208472
754262231.0,Shofa automobile warehouse garage,Open concrete drain,0.75,0.6,0.6,0.45,39.0,0.888743,0.192429022,1.0,0.8875,0.301,0.636125801,Moderately High,1778609010277.jpg,5.6536676,-0.2086921
754262253.0,Westlands junction,Open concrete drain,0.25,1.0,0.5,1.2,40.0,0.879269,0.0,1.0,0.1,0.301,0.37709035,Moderately Low,1778930170133.jpg,5.6502191,-0.2100578
754262280.0,Westlands gardens,Open concrete drain,0.25,0.6,0.6,0.42,36.0,0.91067,0.649842271,1.0,0.685,0.301,0.537776838,Moderately High,1778930415447.jpg,5.6502888,-0.2106281
754262294.0,Westlands junction,Open concrete drain,0.5,1.0,0.75,1.1,36.0,0.94018,0.003154574,1.0,0.45,0.301,0.496700186,Moderately Low,1778930560007.jpg,5.6504785,-0.2108472
754262304.0,Westlands,Open concrete drain,0.5,1.0,1.2,1.1,35.0,0.90328,0.766561514,1.0,0.45,0.301,0.60567623,Moderately High,1778930697063.jpg,5.6505636,-0.2112846
754262316.0,Ato awhoi ave,Open concrete drain,0.25,1.0,0.5,1.1,35.0,0.899107,0.022082019,1.0,0.175,0.301,0.39087835,Moderately Low,1778930805595.jpg,5.6504807,-0.2118129
754262333.0,Ato awhoi ave,Open concrete drain,0.25,0.6,0.7,0.42,30.0,0.859312,0.09148265,1.0,0.685,0.301,0.446319197,Moderately Low,1778931193802.jpg,5.6499096,-0.2139119
754262338.0,Ato awhoi,Open concrete drain,0.5,0.6,1.1,0.42,32.0,0.779054,0.003154574,1.0,0.79,0.301,0.506531284,Moderately High,1778931316835.jpg,5.6496399,-0.2145553
754262350.0,Ato awhoi,Open concrete drain,1.0,0.6,1.1,0.42,27.0,0.858341,0.006309148,1.0,1.0,0.301,0.689897519,Moderately High,1778931425131.jpg,5.6494301,-0.2149302
754262355.0,Ato awhoi ave,Open concrete drain,1.0,0.6,1.1,0.42,27.0,0.858341,0.006309148,1.0,1.0,0.301,0.689897519,Moderately High,1778931512503.jpg,5.6493456,-0.2151345
754262374.0,Ato awhoi ave,Open concrete drain,0.25,0.6,0.7,0.39,29.0,0.950224,0.0,1.0,0.7075,0.301,0.448483597,Moderately Low,1778931622928.jpg,5.6491048,-0.2155225
754262405.0,Kisseman,Open concrete drain,0.5,0.6,0.7,0.42,27.0,0.906166,0.006309148,1.0,0.79,0.301,0.526071275,Moderately High,1778932514002.jpg,5.6484061,-0.2161956
754262416.0,Sobor street,Covered / underground drain,0.75,0.6,0.7,0.39,37.0,0.851716,0.0,1.0,0.9025,0.301,0.603207397,Moderately High,1778933017001.jpg,5.6456423,-0.2144841
754262421.0,Sobor street,Open concrete drain,0.25,0.65,0.7,0.455,38.0,0.851716,0.006309148,1.0,0.65875,0.301,0.429778769,Moderately Low,,5.6455073,-0.2145383
754262429.0,Sobor street,Open concrete drain,0.25,0.45,0.65,0.225,39.0,0.94018,0.041009464,1.0,0.83125,0.301,0.46550342,Moderately Low,1778933312523.jpg,5.6452627,-0.2151881
754262440.0,Sobor street,Open concrete drain,0.25,0.6,0.7,0.48,39.0,0.94018,0.041009464,1.0,0.64,0.301,0.44637842,Moderately Low,1778933508005.jpg,5.6451265,-0.2152303
754262452.0,Sobor street,Open concrete drain,0.25,0.6,0.65,0.48,39.0,0.94018,0.041009464,1.0,0.64,0.301,0.44637842,Moderately Low,1778933572309.jpg,5.6450593,-0.2152766
754262463.0,Kisseman,Open concrete drain,0.25,0.6,0.7,0.42,37.0,0.86327,0.003154574,1.0,0.685,0.301,0.433663684,Moderately Low,1778934053501.jpg,5.6457842,-0.2158798
754262478.0,Kisseman,Open concrete drain,0.25,0.6,0.5,0.42,36.0,0.866315,0.050473186,1.0,0.685,0.301,0.441218229,Moderately Low,1778934145710.jpg,5.6458932,-0.2158539
754262486.0,Kisseman,Open concrete drain,0.25,0.6,0.8,0.42,35.0,0.882731,0.0,1.0,0.685,0.301,0.436109653,Moderately Low,1778934294190.jpg,5.6463557,-0.2163959
754262494.0,Frema street,Open concrete drain,0.5,0.6,0.8,0.36,33.0,0.798464,0.006309148,1.0,0.82,0.301,0.512915972,Moderately High,1778934430304.jpg,5.6465806,-0.216501
754262509.0,Airways street,Open concrete drain,0.25,0.5,0.7,0.3,40.0,0.888743,0.028391167,1.0,0.775,0.301,0.450270122,Moderately Low,1778934901077.jpg,5.6449227,-0.2151381
754262529.0,John nii owoo street,Open concrete drain,0.25,0.5,0.7,0.3,41.0,0.834249,0.009463722,1.0,0.775,0.301,0.439256911,Moderately Low,1778935000654.jpg,5.6447084,-0.2150731
754262549.0,John nii owoo street,Open concrete drain,0.25,0.5,0.7,0.3,41.0,0.843612,0.009463722,1.0,0.775,0.301,0.44066136,Moderately Low,1778935129321.jpg,5.6445182,-0.2148759
754262560.0,Porturphy,Open concrete drain,0.5,0.5,0.6,0.3,41.0,0.843612,0.009463722,1.0,0.85,0.301,0.52316136,Moderately High,1778935246408.jpg,5.6446378,-0.2148472
754262578.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,41.0,0.843612,0.009463722,1.0,0.775,0.301,0.44066136,Moderately Low,1778935335552.jpg,5.6446668,-0.2148759
754262593.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,41.0,0.870489,0.0,1.0,0.775,0.301,0.44327335,Moderately Low,1778935434984.jpg,5.6448622,-0.2145289
754262604.0,Porturphy,Open concrete drain,0.5,0.5,0.6,0.3,41.0,0.870489,0.0,1.0,0.85,0.301,0.52577335,Moderately High,1778935502660.jpg,5.6448798,-0.2143722
754262617.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,38.0,0.833425,0.003154574,1.0,0.775,0.301,0.438186934,Moderately Low,1778935590812.jpg,5.6451259,-0.2140177
754262629.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,37.0,0.850793,0.006309148,1.0,0.775,0.301,0.441265323,Moderately Low,1778935712625.jpg,5.6452357,-0.2136775
754262640.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,36.0,0.883909,0.006309148,1.0,0.775,0.301,0.44623272,Moderately Low,1778935816220.jpg,5.6453639,-0.2135962
754262651.0,Porturphy,Open concrete drain,0.5,0.5,0.6,0.3,35.0,0.953071,1.0,1.0,0.85,0.301,0.68816065,Moderately High,1778935908715.jpg,5.6454531,-0.2132217
754262663.0,Porturphy,Open concrete drain,0.25,0.5,0.6,0.3,35.0,0.962898,0.044164038,1.0,0.775,0.301,0.463759308,Moderately Low,1778936017028.jpg,5.6457009,-0.2129987
754262693.0,Porturphy,Open concrete drain,0.75,0.5,0.6,0.3,36.0,0.931596,0.0,1.0,0.925,0.301,0.617439397,Moderately High,1778936664916.jpg,5.6465254,-0.2131939
754262705.0,Sobor street,Open concrete drain,0.5,0.5,0.6,0.3,35.0,0.917055,0.100946372,1.0,0.85,0.301,0.547900207,Moderately High,1778936748212.jpg,5.6462285,-0.2132593
754262725.0,Sober street,Open concrete drain,0.25,0.55,0.6,0.3575,35.0,0.917055,0.100946372,1.0,0.731875,0.301,0.461087707,Moderately Low,1778936836337.jpg,5.646258,-0.2133629
754262742.0,Sober street,Open concrete drain,0.75,0.55,0.6,0.3575,35.0,0.873709,0.022082019,1.0,0.910625,0.301,0.610631156,Moderately High,1778937005052.jpg,5.6467649,-0.2133163
754262766.0,Sober,Open concrete drain,0.25,0.55,0.6,0.3575,35.0,0.873709,0.022082019,1.0,0.731875,0.301,0.442756156,Moderately Low,1778937095188.jpg,5.6469225,-0.213259
754262775.0,Porturphy,Open concrete drain,0.25,0.55,0.6,0.33,37.0,0.866315,0.003154574,1.0,0.7525,0.301,0.440870437,Moderately Low,1778937219646.jpg,5.6473833,-0.213492
754262783.0,Porturphy,Open concrete drain,0.5,0.55,0.65,0.3575,38.0,0.859312,0.0,1.0,0.82125,0.301,0.521221799,Moderately High,1778937342317.jpg,5.647792,-0.2135112
754262799.0,Porturphy,Open concrete drain,0.25,0.55,0.65,0.33,37.0,0.947532,0.0,1.0,0.7525,0.301,0.4525798,Moderately Low,1778937623251.jpg,5.6486504,-0.2137694
754262808.0,Porturphy,Open concrete drain,0.25,0.55,0.65,0.3575,37.0,0.947532,0.0,1.0,0.731875,0.301,0.4505173,Moderately Low,1778937726318.jpg,5.6487694,-0.2136994
754262829.0,Porturphy area,Open concrete drain,0.25,0.45,0.6,0.2475,37.0,0.933637,0.107255521,0.0,0.814375,0.301,0.372771381,Moderately Low,1778938057659.jpg,5.6482197,-0.2132764
754262836.0,Porturphy,Open concrete drain,0.75,0.4,0.65,0.2,37.0,0.962898,0.03785489,1.0,0.95,0.301,0.630312936,Moderately High,1778938264802.jpg,5.6484222,-0.212715
754262843.0,Kwakai ashi,Open concrete drain,0.25,0.45,0.6,0.2475,37.0,0.947532,0.006309148,1.0,0.814375,0.301,0.459713672,Moderately Low,1778938397965.jpg,5.6487183,-0.2123295
754262853.0,Kwakai ashi,Open concrete drain,0.25,0.45,0.65,0.2475,42.0,0.983407,0.0,1.0,0.814375,0.301,0.464148553,Moderately Low,1778938621914.jpg,5.6489002,-0.2112514
754262859.0,Kwakai ashi/ nii owoo ave intersection,Open concrete drain,1.0,0.45,0.55,0.2475,42.0,0.983407,0.0,1.0,1.0,0.301,0.707711053,Moderately High,1778938798430.jpg,5.6489747,-0.2111138
754262870.0,Nii owoo ave,Open concrete drain,0.25,0.5,0.5,0.275,41.0,0.91067,0.003154574,1.0,0.79375,0.301,0.451648683,Moderately Low,1778939156677.jpg,5.6487184,-0.2111563
754262885.0,Nii owoo,Open concrete drain,0.25,0.55,0.55,0.33,41.0,0.91067,0.003154574,1.0,0.7525,0.301,0.447523683,Moderately Low,1778939270422.jpg,5.6486327,-0.2110793
754262895.0,Nii owoo,Open concrete drain,0.25,0.55,0.55,0.3025,41.0,0.873709,0.022082019,1.0,0.773125,0.301,0.446881156,Moderately Low,1778939650276.jpg,5.6482843,-0.2112108
754262913.0,Nii owoo ave,Open concrete drain,0.25,0.55,0.55,0.33,41.0,0.873709,0.022082019,1.0,0.7525,0.301,0.444818656,Moderately Low,1778939818012.jpg,5.6481061,-0.2112178
754262928.0,Aflasu street,Open concrete drain,0.25,0.55,0.55,0.33,38.0,0.859312,0.03785489,0.0,0.7525,0.301,0.345025033,Moderately Low,1778939967781.jpg,5.6480579,-0.2116788
754262950.0,Aflasu street,Open concrete drain,0.25,0.55,0.6,0.3025,39.0,0.842738,0.003154574,0.0,0.773125,0.301,0.339396382,Moderately Low,1778940061227.jpg,5.6480045,-0.211815
754262965.0,Aflasu street,Open concrete drain,0.25,0.55,0.55,0.3575,37.0,0.947532,0.022082019,1.0,0.731875,0.301,0.453829602,Moderately Low,1778942118501.jpg,5.6477549,-0.2123953
754262972.0,Aflasu street,Open concrete drain,1.0,0.55,0.6,0.3575,38.0,0.947532,0.003154574,1.0,1.0,0.301,0.702802986,Moderately High,1778942198973.jpg,5.6476715,-0.212436
754262987.0,Aflasu street,Open concrete drain,0.25,0.55,0.6,0.3575,39.0,0.953071,0.0,0.0,0.731875,0.301,0.35134815,Moderately Low,1778942274318.jpg,5.6475651,-0.2127245
754263009.0,Carbon close,Open concrete drain,0.25,0.55,0.55,0.3575,38.0,0.834249,0.006309148,1.0,0.731875,0.301,0.434471225,Moderately Low,1778942770005.jpg,5.6449913,-0.2135511
754263025.0,Carbon close,Open concrete drain,1.0,0.55,0.65,0.3575,38.0,0.800511,0.132492114,1.0,1.0,0.301,0.700150467,Moderately High,1778942935764.jpg,5.6445441,-0.2132041
754263044.0,Carbon close,Open concrete drain,1.0,0.55,0.65,0.3575,40.0,0.797786,0.006309148,1.0,1.0,0.301,0.680814272,Moderately High,1778943074181.jpg,5.6444164,-0.2130773
754263060.0,Porturphy,Open concrete drain,0.25,0.55,0.65,0.3575,43.0,0.866315,0.0,1.0,0.731875,0.301,0.438334751,Moderately Low,1778943400051.jpg,5.6446972,-0.214125
754263083.0,Aplite close,Open concrete drain,0.25,0.55,0.65,0.3575,42.0,0.843612,0.268138801,1.0,0.731875,0.301,0.475150122,Moderately Low,1778943524629.jpg,5.6442766,-0.2138465
754263103.0,Kisseman,Open concrete drain,0.25,0.55,0.65,0.385,44.0,0.882731,0.0,1.0,0.71125,0.301,0.438734653,Moderately Low,1778943867526.jpg,5.6442415,-0.2146397
754263123.0,Kisseman,Open concrete drain,0.25,0.55,0.65,0.3575,44.0,0.900479,0.003154574,1.0,0.731875,0.301,0.443932539,Moderately Low,1778944005742.jpg,5.6440348,-0.2146003
754263149.0,Kisseman 1,Open concrete drain,0.25,0.55,0.65,0.385,48.0,0.879269,0.018927445,1.0,0.71125,0.301,0.441054467,Moderately Low,1778944228449.jpg,5.6432302,-0.214154
754263166.0,Kisseman,Open concrete drain,0.25,0.55,0.65,0.3575,52.0,0.799826,0.003154574,1.0,0.731875,0.301,0.42883459,Moderately Low,1778944423710.jpg,5.6426699,-0.2136017
754263183.0,Kisseman,Open concrete drain,0.25,0.55,0.7,0.3575,56.0,0.857375,0.0,1.0,0.731875,0.301,0.436993754,Moderately Low,1778944550504.jpg,5.6422243,-0.2134264
754263206.0,Kisseman,Open concrete drain,0.25,0.55,0.65,0.3575,58.0,0.947532,0.018927445,1.0,0.731875,0.301,0.453356416,Moderately Low,1778944690501.jpg,5.6416492,-0.21293
754263223.0,Kisseman,Open concrete drain,0.25,0.55,0.7,0.3575,59.0,0.870489,0.006309148,1.0,0.731875,0.301,0.439907222,Moderately Low,1778944860644.jpg,5.6412703,-0.2127777
754263236.0,Kisseman,Open concrete drain,1.0,0.55,0.65,0.3575,60.0,0.851716,0.003154574,1.0,1.0,0.301,0.688430583,Moderately High,1778944976197.jpg,5.6409874,-0.2124802
754263242.0,Kisseman,Open concrete drain,0.5,0.55,0.65,0.3575,60.0,0.91067,0.119873817,1.0,0.82125,0.301,0.54690657,Moderately High,1778945057577.jpg,5.6407641,-0.2124154
754263258.0,Kisseman,Open concrete drain,0.5,0.55,0.65,0.3575,60.0,0.91067,0.119873817,1.0,0.82125,0.301,0.54690657,Moderately High,1778945134410.jpg,5.6406274,-0.2122184
754263274.0,Kisseman,Open concrete drain,1.0,0.55,0.65,0.3025,63.0,0.859312,0.0,1.0,1.0,0.301,0.689096799,Moderately High,1778945264443.jpg,5.6402059,-0.2120151
754263286.0,Kisseman,Open concrete drain,0.25,0.55,0.65,0.275,62.0,0.784056,0.003154574,1.0,0.79375,0.301,0.432656587,Moderately Low,1778945404468.jpg,5.6399585,-0.2118344
754263302.0,Kisseman sports complex,Open concrete drain,0.5,0.55,0.65,0.275,64.0,0.816968,0.003154574,1.0,0.8625,0.301,0.519468389,Moderately High,1778945509366.jpg,5.6397493,-0.2116099
754263325.0,Kisseman sports complex,Open concrete drain,0.5,0.55,0.65,0.275,63.0,0.879269,0.006309148,1.0,0.8625,0.301,0.529286723,Moderately High,1778945596151.jpg,5.6394273,-0.2114298
